service_id,date,exception_type
1.1.H1398,20210930,1
1.1.H1397,20211001,1
1.1.H1295,20211002,1
1.1.H1305,20211003,1
1.1.H1398,20211004,1
1.1.H1398,20211005,1
1.1.H1398,20211006,1
1.1.H1398,20211007,1
1.1.H1397,20211008,1
1.1.H1295,20211009,1
1.1.H1305,20211010,1
1.1.H1398,20211011,1
1.1.H1305,20211012,1
1.2.H1272,20210215,1
1.2.H1272,20210216,1
1.2.H1272,20210217,1
1.2.H1272,20210218,1
1.2.H1273,20210219,1
1.2.H1306,20210220,1
1.2.H1399,20210221,1
1.2.H1272,20210222,1
1.2.H1272,20210223,1
1.2.H1272,20210224,1
1.2.H1272,20210225,1
1.2.H1273,20210226,1
1.2.H1306,20210227,1
1.2.H1399,20210228,1
1.2.H1272,20210301,1
1.2.H1272,20210302,1
1.2.H1272,20210303,1
1.2.H1272,20210304,1
1.2.H1273,20210305,1
1.2.H1306,20210306,1
1.2.H1399,20210307,1
1.2.H1272,20210308,1
1.2.H1272,20210309,1
1.2.H1272,20210310,1
1.2.H1272,20210311,1
1.2.H1273,20210312,1
1.2.H1306,20210313,1
1.2.H1399,20210314,1
1.2.H1272,20210315,1
1.2.H1272,20210316,1
1.2.H1272,20210317,1
1.2.H1272,20210318,1
1.2.H1273,20210319,1
1.2.H1306,20210320,1
1.2.H1399,20210321,1
1.2.H1272,20210322,1
1.2.H1272,20210323,1
1.2.H1272,20210324,1
1.2.H1272,20210325,1
1.2.H1273,20210326,1
1.2.H1306,20210327,1
1.2.H1399,20210328,1
1.2.H1272,20210329,1
1.2.H1272,20210330,1
1.2.H1272,20210331,1
1.2.H1272,20210401,1
1.2.H1399,20210402,1
1.2.H1306,20210403,1
1.2.H1399,20210404,1
1.2.H1399,20210405,1
1.2.H1272,20210406,1
1.2.H1272,20210407,1
1.2.H1272,20210408,1
1.2.H1273,20210409,1
1.2.H1306,20210410,1
1.2.H1399,20210411,1
1.2.H1272,20210412,1
1.2.H1272,20210413,1
1.2.H1272,20210414,1
1.2.H1272,20210415,1
1.2.H1273,20210416,1
1.2.H1306,20210417,1
1.2.H1399,20210418,1
1.2.H1272,20210419,1
1.2.H1272,20210420,1
1.2.H1272,20210421,1
1.2.H1272,20210422,1
1.2.H1273,20210423,1
1.2.H1306,20210424,1
1.2.H1399,20210425,1
1.2.H1272,20210426,1
1.2.H1272,20210427,1
1.2.H1272,20210428,1
1.2.H1272,20210429,1
1.2.H1273,20210430,1
1.2.H1399,20210501,1
1.2.H1399,20210502,1
1.2.H1272,20210503,1
1.2.H1272,20210504,1
1.2.H1272,20210505,1
1.2.H1272,20210506,1
1.2.H1273,20210507,1
1.2.H1306,20210508,1
1.2.H1399,20210509,1
1.2.H1272,20210510,1
1.2.H1272,20210511,1
1.2.H1272,20210512,1
1.2.H1272,20210513,1
1.2.H1273,20210514,1
1.2.H1306,20210515,1
1.2.H1399,20210516,1
1.2.H1272,20210517,1
1.2.H1272,20210518,1
1.2.H1272,20210519,1
1.2.H1272,20210520,1
1.2.H1273,20210521,1
1.2.H1306,20210522,1
1.2.H1399,20210523,1
1.2.H1399,20210524,1
1.2.H1272,20210525,1
1.2.H1272,20210526,1
1.2.H1272,20210527,1
1.2.H1273,20210528,1
1.2.H1306,20210529,1
1.2.H1399,20210530,1
1.2.H1272,20210531,1
1.2.H1272,20210601,1
1.2.H1272,20210602,1
1.2.H1272,20210603,1
1.2.H1273,20210604,1
1.2.H1306,20210605,1
1.2.H1399,20210606,1
1.2.H1272,20210607,1
1.2.H1272,20210608,1
1.2.H1272,20210609,1
1.2.H1272,20210610,1
1.2.H1273,20210611,1
1.2.H1306,20210612,1
1.2.H1399,20210613,1
1.2.H1272,20210614,1
1.2.H1272,20210615,1
1.2.H1272,20210616,1
1.2.H1272,20210617,1
1.2.H1273,20210618,1
1.2.H1306,20210619,1
1.2.H1399,20210620,1
1.2.H1272,20210621,1
1.2.H1272,20210622,1
1.2.H1272,20210623,1
1.2.H1399,20210624,1
1.2.H1273,20210625,1
1.2.H1306,20210626,1
1.2.H1399,20210627,1
1.2.H1272,20210628,1
1.2.H1272,20210629,1
1.2.H1272,20210630,1
1.2.H1272,20210701,1
1.2.H1273,20210702,1
1.2.H1306,20210703,1
1.2.H1399,20210704,1
1.2.H1272,20210705,1
1.2.H1272,20210706,1
1.2.H1272,20210707,1
1.2.H1272,20210708,1
1.2.H1273,20210709,1
1.2.H1306,20210710,1
1.2.H1399,20210711,1
1.2.H1272,20210712,1
1.2.H1272,20210713,1
1.2.H1272,20210714,1
1.2.H1272,20210715,1
1.2.H1273,20210716,1
1.2.H1306,20210717,1
1.2.H1399,20210718,1
1.2.H1272,20210719,1
1.2.H1272,20210720,1
1.2.H1272,20210721,1
1.2.H1272,20210722,1
1.2.H1273,20210723,1
1.2.H1306,20210724,1
1.2.H1399,20210725,1
1.2.H1272,20210726,1
1.2.H1272,20210727,1
1.2.H1272,20210728,1
1.2.H1272,20210729,1
1.2.H1273,20210730,1
1.2.H1306,20210731,1
1.2.H1399,20210801,1
1.2.H1272,20210802,1
1.2.H1272,20210803,1
1.2.H1272,20210804,1
1.2.H1272,20210805,1
1.2.H1273,20210806,1
1.2.H1306,20210807,1
1.2.H1399,20210808,1
1.2.H1272,20210809,1
1.2.H1272,20210810,1
1.2.H1272,20210811,1
1.2.H1272,20210812,1
1.2.H1273,20210813,1
1.2.H1306,20210814,1
